E=550		
3	5.78E+04	2.24E-07
3.2	4.13E+04	-1.45E-07
3.4	2.97E+04	-2.72E-07
3.6	2.16E+04	5.74E-08
3.8	1.57E+04	3.43E-08
4	1.15E+04	-2.73E-07
4.2	8.45E+03	-1.87E-07
4.4	6.22E+03	2.02E-08
4.6	4.59E+03	-1.64E-07
4.8	3.39E+03	-3.33E-07
5	2.50E+03	-1.57E-07
5.2	1.85E+03	-1.13E-07
5.4	1.36E+03	-3.51E-07
5.6	1.01E+03	-3.78E-07
5.8	7.45E+02	-2.16E-07
6	5.51E+02	-3.25E-07
6.2	4.09E+02	-5.31E-07
6.4	3.04E+02	-4.51E-07
6.6	2.27E+02	-3.86E-07
6.8	1.71E+02	-5.90E-07
7	1.30E+02	-6.88E-07
7.2	9.99E+01	-5.76E-07
7.4	7.78E+01	-6.25E-07
7.6	6.15E+01	-7.87E-07
7.8	4.95E+01	-7.61E-07
8	4.04E+01	-6.90E-07
8.2	3.34E+01	-7.54E-07
8.4	2.80E+01	-7.86E-07
8.6	2.37E+01	-7.22E-07
8.8	2.02E+01	-6.97E-07
9	1.74E+01	-7.03E-07
9.2	1.49E+01	-6.76E-07
9.4	1.28E+01	-6.52E-07
9.6	1.09E+01	-6.33E-07
9.8	9.32E+00	-6.03E-07
10	7.90E+00	-6.00E-07
10.2	6.65E+00	-6.06E-07
10.4	5.56E+00	-5.70E-07
10.6	4.61E+00	-5.51E-07
10.8	3.78E+00	-5.92E-07
11	3.08E+00	-5.95E-07
11.2	2.48E+00	-5.47E-07
11.4	1.98E+00	-5.80E-07
11.6	1.56E+00	-6.57E-07
11.8	1.22E+00	-6.32E-07
12	9.50E-01	-6.12E-07
12.2	7.32E-01	-7.36E-07
12.4	5.62E-01	-8.24E-07
12.6	4.31E-01	-7.79E-07
12.8	3.33E-01	-8.60E-07
13	2.61E-01	-1.07E-06
13.2	2.09E-01	-1.11E-06
13.4	1.73E-01	-1.09E-06
13.6	1.48E-01	-1.24E-06
13.8	1.31E-01	-1.35E-06
14	1.20E-01	-1.29E-06
14.2	1.12E-01	-1.28E-06
14.4	1.06E-01	-1.35E-06
14.6	1.02E-01	-1.34E-06
14.8	9.75E-02	-1.31E-06
15	9.28E-02	-1.33E-06
E=1000		
2	3.44E+05	-9.05E-08
2.2	2.24E+05	2.64E-07
2.4	1.49E+05	6.69E-08
2.6	1.01E+05	-3.40E-07
2.8	7.01E+04	-3.41E-08
3	4.91E+04	2.26E-07
3.2	3.47E+04	-1.47E-07
3.4	2.47E+04	-2.79E-07
